Product Name,Product ID,Listing Price,Sale Price,Discount,Brands,Rating,Reviews,Brand,New Brands
Men's adidas Running Solar Drive Shoes,EF1426,9999,4999,50,Adidas,3.2,50,Adidas SPORT PERFORMANCE,1
Men's adidas Running Weave Shoes,CL7264,4999,2999,40,Adidas,2.7,80,Adidas CORE / NEO,1
Men's adidas Running Nepton 2.0 Shoes,CL7472,5599,2799,50,Adidas,4.5,75,Adidas CORE / NEO,1
Men's adidas Sport Inspired Lyrid Slip-ons,CL7560,4599,2299,50,Adidas,3.8,90,Adidas CORE / NEO,1
Men's adidas Original X_PLR Shoes,EE4574,7599,4559,40,Adidas,4,68,Adidas ORIGINALS,1
Men's adidas Running Kyris 4.0 Shoes,CL7445,4299,2149,50,Adidas,4.6,15,Adidas CORE / NEO,1
Men's adidas Sport Inspired Quickspike Shoes,CL7404,3999,1999,50,Adidas,3.8,64,Adidas CORE / NEO,1
Men's adidas Running Flank Shoes,CL7515,5299,2649,50,Adidas,3.3,79,Adidas CORE / NEO,1
Men's adidas Originals ZX 4000 Shoes,EE4763,7999,4799,40,Adidas,4.1,70,Adidas ORIGINALS,1
Men's adidas Running Supervega Shoes,CL7616,3999,2399,40,Adidas,1,68,Adidas CORE / NEO,1
Men's adidas Sport Inspired Factor Shoes,CL7591,4299,2149,50,Adidas,4.4,23,Adidas CORE / NEO,1
Men's adidas Outdoor Elevate 2018 Sandals,CK9831,2799,1399,50,Adidas,3.3,70,Adidas SPORT PERFORMANCE,1
Men's adidas Americana Low Shoes,EF2508,6599,3959,40,Adidas,4.9,42,Adidas ORIGINALS,1
Men's adidas Running Kalus 1.0 Shoes,CL7495,4599,2299,50,Adidas,3.8,77,Adidas CORE / NEO,1
Men's adidas Originals Yung-96 Shoes,EE5592,10999,6599,40,Adidas,4.1,52,Adidas ORIGINALS,1
Men's adidas Originals A.R. Trainers,EE5398,7999,4799,40,Adidas,4.5,92,Adidas ORIGINALS,1
Men's adidas Originals FYW S-97 Shoes,EE5304,12999,7799,40,Adidas,4.5,29,Adidas ORIGINALS,1
Men's adidas Originals Yung-96 Shoes,EE7242,7999,4799,40,Adidas,4.5,93,Adidas ORIGINALS,1
Men's adidas Swim Bise Slippers,CM0064,1499,749,50,Adidas,2.6,24,Adidas CORE / NEO,1
Men's adidas Sport Inspired Grand Court Shoes,EE7885,6599,3959,40,Adidas,2.2,1,Adidas CORE / NEO,1
